Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,18.850000,19.620001,18.750000,18.950001,18.950001,14932200
2017-11-02,19.080000,19.350000,18.750000,18.780001,18.780001,11041700
2017-11-03,18.799999,18.820000,18.330000,18.360001,18.360001,14959900
2017-11-06,18.320000,18.360001,17.940001,18.160000,18.160000,14676500
2017-11-07,18.160000,18.170000,17.410000,17.530001,17.530001,20434300
2017-11-08,17.510000,17.930000,17.420000,17.570000,17.570000,19900200
2017-11-09,18.010000,20.100000,17.799999,19.500000,19.500000,60766900
2017-11-10,19.510000,20.400000,19.500000,19.980000,19.980000,28654500
2017-11-13,19.990000,20.100000,18.799999,19.330000,19.330000,21387200
2017-11-14,19.150000,19.730000,19.090000,19.700001,19.700001,10707200
2017-11-15,19.440001,20.240000,19.330000,19.980000,19.980000,15102100
2017-11-16,20.000000,20.420000,19.610001,20.250000,20.250000,11564800
2017-11-17,20.680000,20.940001,20.240000,20.350000,20.350000,14008100
2017-11-20,20.340000,20.920000,20.110001,20.799999,20.799999,11268200
2017-11-21,20.809999,20.820000,20.350000,20.420000,20.420000,10126400
2017-11-22,20.540001,21.139999,20.309999,20.629999,20.629999,10326200
2017-11-24,21.299999,21.650000,21.010000,21.070000,21.070000,12860800
2017-11-27,21.139999,21.360001,20.600000,21.209999,21.209999,16701500
2017-11-28,21.410000,22.230000,21.120001,22.170000,22.170000,16163500
2017-11-29,22.280001,24.190001,22.230000,23.980000,23.980000,30789800
2017-11-30,24.150000,24.900000,23.730000,23.799999,23.799999,26021800
