Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,87.070000,88.400002,87.000000,87.940002,87.940002,6176100
2017-11-02,88.279999,89.169998,87.800003,88.800003,88.800003,5183100
2017-11-03,89.019997,89.879997,88.760002,89.680000,89.680000,6512100
2017-11-06,89.419998,89.680000,88.680000,88.699997,88.699997,5257400
2017-11-07,88.870003,89.059998,88.309998,88.949997,88.949997,5349300
2017-11-08,89.110001,90.419998,89.099998,90.260002,90.260002,6767500
2017-11-09,89.940002,90.570000,89.349998,90.300003,90.300003,6904500
2017-11-10,90.239998,91.690002,90.199997,90.919998,90.919998,7647800
2017-11-13,91.040001,91.980003,90.870003,90.989998,90.989998,8491600
2017-11-14,90.699997,91.199997,90.180000,91.089996,91.089996,9834100
2017-11-15,90.339996,90.849998,89.650002,89.830002,89.830002,8433400
2017-11-16,95.120003,99.680000,94.720001,99.620003,99.620003,38122400
2017-11-17,99.239998,100.129997,96.580002,97.470001,97.470001,23575500
2017-11-20,96.440002,97.639999,95.760002,97.480003,97.480003,16394300
2017-11-21,97.739998,97.919998,96.320000,96.519997,96.519997,12746500
2017-11-22,96.650002,96.809998,96.110001,96.410004,96.410004,8918200
2017-11-24,96.870003,97.230003,96.529999,96.620003,96.620003,4496100
2017-11-27,96.849998,97.650002,96.300003,96.620003,96.620003,8904900
2017-11-28,96.589996,96.889999,95.820000,96.769997,96.769997,8709600
2017-11-29,97.220001,98.260002,96.879997,97.559998,97.559998,11424000
2017-11-30,98.089996,98.440002,96.510002,97.230003,97.230003,12854700
