Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,169.869995,169.940002,165.610001,166.889999,166.292206,33637800
2017-11-02,166.600006,168.500000,165.279999,168.110001,167.507828,41393400
2017-11-03,174.000000,174.259995,171.119995,172.500000,171.882111,59398600
2017-11-06,172.369995,174.990005,171.720001,174.250000,173.625839,35026300
2017-11-07,173.910004,175.250000,173.600006,174.809998,174.183823,24361500
2017-11-08,174.660004,176.240005,174.330002,176.240005,175.608719,24409500
2017-11-09,175.110001,176.100006,173.139999,175.880005,175.250000,29482600
2017-11-10,175.110001,175.380005,174.270004,174.669998,174.669998,25145500
2017-11-13,173.500000,174.500000,173.399994,173.970001,173.970001,16982100
2017-11-14,173.039993,173.479996,171.179993,171.339996,171.339996,24782500
2017-11-15,169.970001,170.320007,168.380005,169.080002,169.080002,29158100
2017-11-16,171.179993,171.869995,170.300003,171.100006,171.100006,23637500
2017-11-17,171.039993,171.389999,169.639999,170.149994,170.149994,21899500
2017-11-20,170.289993,170.559998,169.559998,169.979996,169.979996,16262400
2017-11-21,170.779999,173.699997,170.779999,173.139999,173.139999,25131300
2017-11-22,173.360001,175.000000,173.050003,174.960007,174.960007,25588900
2017-11-24,175.100006,175.500000,174.649994,174.970001,174.970001,14026700
2017-11-27,175.050003,175.080002,173.339996,174.089996,174.089996,20716800
2017-11-28,174.300003,174.869995,171.860001,173.070007,173.070007,26428800
2017-11-29,172.630005,172.919998,167.160004,169.479996,169.479996,41666400
2017-11-30,170.429993,172.139999,168.440002,171.850006,171.850006,41527200
