Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,55.419998,55.500000,54.849998,55.070000,54.887711,7544500
2017-11-02,55.150002,55.320000,54.590000,55.119999,54.937542,7250300
2017-11-03,55.150002,55.720001,55.040001,55.709999,55.525593,9448200
2017-11-06,55.290001,56.130001,55.139999,56.040001,55.854500,9332200
2017-11-07,55.750000,56.020000,55.020000,55.150002,54.967445,7774700
2017-11-08,55.000000,55.770000,54.889999,55.759998,55.575424,7079400
2017-11-09,55.500000,56.349998,55.310001,56.130001,55.944202,10958500
2017-11-10,55.880001,56.490002,55.619999,56.090000,55.904335,7535700
2017-11-13,55.660000,56.090000,55.660000,55.910000,55.724930,10106100
2017-11-14,55.709999,56.180000,55.529999,55.980000,55.794697,5037500
2017-11-15,55.959999,56.869999,55.080002,56.630001,56.442547,6610500
2017-11-16,56.619999,57.279999,56.410000,57.230000,57.040562,8233300
2017-11-17,58.540001,59.529999,58.369999,59.189999,58.994072,15475500
2017-11-20,58.630001,59.500000,57.980000,59.250000,59.053875,8480600
2017-11-21,59.029999,59.400002,58.930000,59.389999,59.193409,9057800
2017-11-22,59.180000,59.340000,58.939999,59.070000,58.874470,8501300
2017-11-24,59.000000,59.349998,58.910000,59.320000,59.123642,3400400
2017-11-27,59.200001,59.700001,59.169998,59.630001,59.432617,7891600
2017-11-28,58.759998,59.599998,58.540001,59.580002,59.382782,8665300
2017-11-29,59.730000,60.630001,59.730000,60.360001,60.160202,12022800
2017-11-30,60.259998,61.209999,60.200001,60.419998,60.219997,12551200
