,Date,compound,Adj Close,Company
0,2017-11-01,0.042014999999999796,166.292206,@Apple
1,2017-11-02,-0.024569000000000098,167.507828,@Apple
2,2017-11-03,0.0023259999999999943,171.882111,@Apple
3,2017-11-06,-0.01898400000000002,173.62583899999998,@Apple
4,2017-11-07,-0.02692,174.183823,@Apple
5,2017-11-08,-0.07905600000000004,175.608719,@Apple
6,2017-11-09,-0.01620699999999999,175.25,@Apple
7,2017-11-10,0.022330000000000017,174.669998,@Apple
8,2017-11-13,0.023584000000000008,173.970001,@Apple
9,2017-11-14,0.007056999999999982,171.33999599999999,@Apple
10,2017-11-15,-0.0008170000000000012,169.080002,@Apple
11,2017-11-16,-0.0038099999999999957,171.100006,@Apple
12,2017-11-17,0.022791000000000016,170.149994,@Apple
13,2017-11-20,0.04783999999999997,169.979996,@Apple
14,2017-11-21,-0.031952000000000015,173.139999,@Apple
15,2017-11-22,0.051742,174.96000700000002,@Apple
16,2017-11-24,0.043177,174.970001,@Apple
17,2017-11-27,0.045168999999999994,174.08999599999999,@Apple
18,2017-11-28,0.075654,173.070007,@Apple
19,2017-11-29,-0.026276000000000008,169.479996,@Apple
0,2017-11-01,0.07390112903225772,110.87355,@Visa
1,2017-11-02,0.09002458620689618,110.78371399999999,@Visa
2,2017-11-03,0.17947594270681225,111.16304,@Visa
3,2017-11-06,0.06924800000000003,111.72204599999999,@Visa
4,2017-11-07,0.030077484848484996,111.89173899999999,@Visa
5,2017-11-08,0.03325608695652158,112.271072,@Visa
6,2017-11-09,0.0959372685185183,111.941658,@Visa
7,2017-11-10,0.06439083665338657,111.68211399999998,@Visa
8,2017-11-13,0.035928619047618966,111.20296499999999,@Visa
9,2017-11-14,0.05988774080560426,111.781944,@Visa
10,2017-11-15,0.1458720822281171,110.055,@Visa
11,2017-11-16,0.026220333333333352,111.019997,@Visa
12,2017-11-17,0.06066333732057425,109.82,@Visa
13,2017-11-20,0.05286374100719401,109.949997,@Visa
14,2017-11-21,0.02659509116409539,111.449997,@Visa
15,2017-11-22,0.046724881889763835,110.82,@Visa
16,2017-11-24,0.051454517677869835,111.970001,@Visa
17,2017-11-27,0.06752765531062105,112.379997,@Visa
18,2017-11-28,0.07698704071499526,113.360001,@Visa
19,2017-11-29,-0.019747986577181287,109.860001,@Visa
0,2017-11-01,0.22640100000000188,1103.680054,@amazon
1,2017-11-02,0.24343100000000018,1094.219971,@amazon
2,2017-11-03,0.15049299999999982,1111.599976,@amazon
3,2017-11-06,0.07145300000000007,1120.660034,@amazon
4,2017-11-07,0.18740800000000002,1123.170044,@amazon
5,2017-11-08,0.15229999999999957,1132.880005,@amazon
6,2017-11-09,0.12373499999999978,1129.130005,@amazon
7,2017-11-10,0.06644799999999976,1125.349976,@amazon
8,2017-11-13,0.21693000000000004,1129.170044,@amazon
9,2017-11-14,0.1694290000000007,1136.839966,@amazon
10,2017-11-15,0.17724400000000123,1126.689941,@amazon
11,2017-11-16,0.22807800000000011,1137.290039,@amazon
12,2017-11-17,0.12880299999999936,1129.880005,@amazon
13,2017-11-20,0.24187800000000007,1126.310059,@amazon
14,2017-11-21,0.24704100000000037,1139.48999,@amazon
15,2017-11-22,0.10937200000000004,1156.160034,@amazon
16,2017-11-24,0.12017900000000005,1186.0,@amazon
17,2017-11-27,0.17339999999999978,1195.829956,@amazon
18,2017-11-29,0.17395399999999994,1161.27002,@amazon
0,2017-11-01,0.27054600000000106,87.940002,@Walmart
1,2017-11-02,0.0971670000000004,88.800003,@Walmart
2,2017-11-03,0.0891009999999998,89.68,@Walmart
3,2017-11-06,0.17270799999999967,88.699997,@Walmart
4,2017-11-07,0.09764400000000033,88.949997,@Walmart
5,2017-11-08,0.20707600000000032,90.260002,@Walmart
6,2017-11-09,0.08783899999999975,90.300003,@Walmart
7,2017-11-10,0.05163199999999974,90.91999799999999,@Walmart
8,2017-11-13,0.16083300000000023,90.989998,@Walmart
9,2017-11-14,0.1544720000000003,91.089996,@Walmart
10,2017-11-15,0.19616900000000057,89.83000200000001,@Walmart
11,2017-11-16,0.18116999999999997,99.620003,@Walmart
12,2017-11-17,0.13978299999999994,97.470001,@Walmart
13,2017-11-20,0.20666199999999998,97.480003,@Walmart
14,2017-11-21,0.2038649999999999,96.519997,@Walmart
15,2017-11-22,0.18930299999999994,96.410004,@Walmart
16,2017-11-24,0.08243099999999998,96.620003,@Walmart
17,2017-11-27,0.030023000000000025,96.620003,@Walmart
18,2017-11-29,0.21603499999999998,97.559998,@Walmart
0,2017-11-01,0.12175400000000058,198.0,@netflix
1,2017-11-02,0.02214799999999992,199.320007,@netflix
2,2017-11-03,0.07151399999999997,200.009995,@netflix
3,2017-11-06,0.09757500000000029,200.130005,@netflix
4,2017-11-07,0.09682700000000008,195.889999,@netflix
5,2017-11-08,0.059868999999999964,196.440002,@netflix
6,2017-11-09,0.03913999999999997,193.899994,@netflix
7,2017-11-10,0.008439999999999963,192.020004,@netflix
8,2017-11-13,0.07770599999999989,195.080002,@netflix
9,2017-11-14,0.06822300000000003,195.71000700000002,@netflix
10,2017-11-15,0.11011900000000015,192.119995,@netflix
11,2017-11-16,0.16228900000000027,195.509995,@netflix
12,2017-11-17,0.23792500000000014,193.199997,@netflix
13,2017-11-20,0.1258279999999999,194.100006,@netflix
14,2017-11-21,0.11766199999999984,196.229996,@netflix
15,2017-11-22,0.16238100000000016,196.320007,@netflix
16,2017-11-24,0.19871399999999992,195.75,@netflix
17,2017-11-27,0.16431600000000002,195.050003,@netflix
18,2017-11-28,0.20103199999999993,199.179993,@netflix
19,2017-11-29,0.181567,188.149994,@netflix
0,2017-11-01,0.0018929999999999984,54.887710999999996,@Nike
1,2017-11-02,0.057183999999999756,54.93754200000001,@Nike
2,2017-11-03,0.03428200000000003,55.52559300000001,@Nike
3,2017-11-06,0.09125099999999987,55.8545,@Nike
4,2017-11-07,0.12313799999999964,54.967445,@Nike
5,2017-11-08,0.13191100000000036,55.575424,@Nike
6,2017-11-09,0.048579999999999825,55.944202000000004,@Nike
7,2017-11-10,0.2076720000000006,55.904334999999996,@Nike
8,2017-11-13,0.06060099999999968,55.72493000000001,@Nike
9,2017-11-14,0.12228099999999978,55.794697,@Nike
10,2017-11-15,0.0829569999999999,56.442547,@Nike
11,2017-11-16,0.088158,57.040562,@Nike
12,2017-11-17,0.056358999999999854,58.994071999999996,@Nike
13,2017-11-20,-0.044057000000000054,59.053875,@Nike
14,2017-11-21,0.05458199999999996,59.193408999999996,@Nike
15,2017-11-22,0.14160599999999987,58.874469999999995,@Nike
16,2017-11-24,0.11482599999999989,59.123642000000004,@Nike
17,2017-11-27,0.10606299999999984,59.43261700000001,@Nike
18,2017-11-28,0.20362399999999997,59.38278199999999,@Nike
19,2017-11-29,0.14153499999999997,60.160202000000005,@Nike
0,2017-11-01,0.1620719999999993,18.950001,@Macys
1,2017-11-02,0.16709100000000002,18.780001000000002,@Macys
2,2017-11-03,0.1367380000000001,18.360001,@Macys
3,2017-11-06,0.1535740000000006,18.16,@Macys
4,2017-11-07,0.2309920000000005,17.530001000000002,@Macys
5,2017-11-08,0.2682530000000007,17.57,@Macys
6,2017-11-09,0.2381570000000002,19.5,@Macys
7,2017-11-10,0.29074799999999995,19.98,@Macys
8,2017-11-13,0.23618999999999918,19.33,@Macys
9,2017-11-14,0.7653019999999922,19.700001,@Macys
10,2017-11-15,0.7264940000000092,19.98,@Macys
11,2017-11-16,0.7758599999999921,20.25,@Macys
12,2017-11-17,0.7084389999999956,20.35,@Macys
13,2017-11-20,0.7238179999999953,20.799999,@Macys
14,2017-11-21,0.6318319999999971,20.42,@Macys
15,2017-11-22,0.6464969999999981,20.629998999999998,@Macys
16,2017-11-24,0.2589060000000001,21.07,@Macys
17,2017-11-27,0.1424459999999999,21.209999,@Macys
18,2017-11-28,0.2597220000000001,22.17,@Macys
19,2017-11-29,0.31026699999999996,23.98,@Macys
